scenario,run,pid,name,type,start_timestamp,end_timestamp,duration_ms
first-use-short-v2,1,98038,process_started,event,2026-07-13 19:59:29.972502+0200,,
first-use-short-v2,1,98038,retained_store_opening,interval,2026-07-13 19:59:29.980487+0200,2026-07-13 19:59:29.998706+0200,18.219
first-use-short-v2,1,98038,service_container_construction,interval,2026-07-13 19:59:29.977122+0200,2026-07-13 19:59:30.102636+0200,125.514
first-use-short-v2,1,98038,app_initialization,interval,2026-07-13 19:59:29.977100+0200,2026-07-13 19:59:30.102706+0200,125.606
first-use-short-v2,1,98038,hotkey_registration,interval,2026-07-13 19:59:30.271657+0200,2026-07-13 19:59:30.297118+0200,25.461
first-use-short-v2,1,98038,hotkey_ready,event,2026-07-13 19:59:30.297134+0200,,
first-use-short-v2,1,98038,built_in_component_construction,interval,2026-07-13 19:59:30.297706+0200,2026-07-13 19:59:30.314526+0200,16.820
first-use-short-v2,1,98038,model_selection_restoration,interval,2026-07-13 19:59:30.314541+0200,2026-07-13 19:59:30.314642+0200,0.101
first-use-short-v2,1,98038,ui_ready,event,2026-07-13 19:59:30.316101+0200,,
first-use-short-v2,1,98038,process_to_ui_ready,interval,2026-07-13 19:59:29.972107+0200,2026-07-13 19:59:30.316113+0200,344.006
first-use-short-v2,1,98038,model_preparation,interval,2026-07-13 19:59:30.345325+0200,2026-07-13 19:59:30.653607+0200,308.282
first-use-short-v2,1,98038,final_transcription,interval,2026-07-13 19:59:30.345269+0200,2026-07-13 19:59:30.837308+0200,492.039
first-use-short-v2,2,98595,process_started,event,2026-07-13 19:59:34.181263+0200,,
first-use-short-v2,2,98595,retained_store_opening,interval,2026-07-13 19:59:34.186041+0200,2026-07-13 19:59:34.200853+0200,14.812
first-use-short-v2,2,98595,service_container_construction,interval,2026-07-13 19:59:34.183934+0200,2026-07-13 19:59:34.298085+0200,114.151
first-use-short-v2,2,98595,app_initialization,interval,2026-07-13 19:59:34.183898+0200,2026-07-13 19:59:34.298159+0200,114.261
first-use-short-v2,2,98595,hotkey_registration,interval,2026-07-13 19:59:34.461289+0200,2026-07-13 19:59:34.486640+0200,25.351
first-use-short-v2,2,98595,hotkey_ready,event,2026-07-13 19:59:34.486659+0200,,
first-use-short-v2,2,98595,built_in_component_construction,interval,2026-07-13 19:59:34.487202+0200,2026-07-13 19:59:34.499018+0200,11.816
first-use-short-v2,2,98595,model_selection_restoration,interval,2026-07-13 19:59:34.499037+0200,2026-07-13 19:59:34.499133+0200,0.096
first-use-short-v2,2,98595,ui_ready,event,2026-07-13 19:59:34.500598+0200,,
first-use-short-v2,2,98595,process_to_ui_ready,interval,2026-07-13 19:59:34.180964+0200,2026-07-13 19:59:34.500618+0200,319.654
