scenario,model,instance,sample,elapsed_ms,rss_kb
first-use-short-v3,parakeet-tdt-0.6b-v3,1,0,9.890,23232
first-use-short-v3,parakeet-tdt-0.6b-v3,1,1,138.446,32784
first-use-short-v3,parakeet-tdt-0.6b-v3,1,2,264.670,88352
first-use-short-v3,parakeet-tdt-0.6b-v3,1,3,391.159,115712
first-use-short-v3,parakeet-tdt-0.6b-v3,1,4,520.250,124384
first-use-short-v3,parakeet-tdt-0.6b-v3,1,5,651.730,129568
first-use-short-v3,parakeet-tdt-0.6b-v3,1,6,796.009,143584
first-use-short-v3,parakeet-tdt-0.6b-v3,1,7,942.671,162832
first-use-short-v3,parakeet-tdt-0.6b-v3,1,8,1069.450,162272
first-use-short-v3,parakeet-tdt-0.6b-v3,1,9,1195.808,162272
first-use-short-v3,parakeet-tdt-0.6b-v3,1,10,1321.133,162272
first-use-short-v3,parakeet-tdt-0.6b-v3,1,11,1444.282,162272
first-use-short-v3,parakeet-tdt-0.6b-v3,1,12,1569.814,162272
first-use-short-v3,parakeet-tdt-0.6b-v3,1,13,1694.660,162272
first-use-short-v3,parakeet-tdt-0.6b-v3,1,14,1823.845,162240
first-use-short-v3,parakeet-tdt-0.6b-v3,1,15,1950.799,162240
first-use-short-v3,parakeet-tdt-0.6b-v3,1,16,2076.813,162240
first-use-short-v3,parakeet-tdt-0.6b-v3,1,17,2202.062,162240
first-use-short-v3,parakeet-tdt-0.6b-v3,1,18,2327.934,162240
first-use-short-v3,parakeet-tdt-0.6b-v3,1,19,2452.839,162240
first-use-short-v3,parakeet-tdt-0.6b-v3,1,20,2581.300,162240
first-use-short-v3,parakeet-tdt-0.6b-v3,1,21,2706.378,162240
first-use-short-v3,parakeet-tdt-0.6b-v3,1,22,2832.581,162240
first-use-short-v3,parakeet-tdt-0.6b-v3,1,23,2960.278,162240
first-use-short-v3,parakeet-tdt-0.6b-v3,2,0,8.092,22224
first-use-short-v3,parakeet-tdt-0.6b-v3,2,1,132.314,32832
first-use-short-v3,parakeet-tdt-0.6b-v3,2,2,262.775,85440
first-use-short-v3,parakeet-tdt-0.6b-v3,2,3,389.697,100880
first-use-short-v3,parakeet-tdt-0.6b-v3,2,4,515.105,120704
first-use-short-v3,parakeet-tdt-0.6b-v3,2,5,645.793,131760
first-use-short-v3,parakeet-tdt-0.6b-v3,2,6,774.697,166224
first-use-short-v3,parakeet-tdt-0.6b-v3,2,7,898.139,165664
first-use-short-v3,parakeet-tdt-0.6b-v3,2,8,1021.901,165664
first-use-short-v3,parakeet-tdt-0.6b-v3,2,9,1143.894,165664
first-use-short-v3,parakeet-tdt-0.6b-v3,2,10,1264.667,165664
first-use-short-v3,parakeet-tdt-0.6b-v3,2,11,1395.308,165664
first-use-short-v3,parakeet-tdt-0.6b-v3,2,12,1529.200,165664
first-use-short-v3,parakeet-tdt-0.6b-v3,2,13,1659.909,165664
first-use-short-v3,parakeet-tdt-0.6b-v3,2,14,1794.878,165632
first-use-short-v3,parakeet-tdt-0.6b-v3,2,15,1933.171,165632
first-use-short-v3,parakeet-tdt-0.6b-v3,2,16,2071.468,165632
first-use-short-v3,parakeet-tdt-0.6b-v3,2,17,2207.854,165632
first-use-short-v3,parakeet-tdt-0.6b-v3,2,18,2347.147,165632
first-use-short-v3,parakeet-tdt-0.6b-v3,2,19,2486.716,165632
first-use-short-v3,parakeet-tdt-0.6b-v3,2,20,2619.684,165632
first-use-short-v3,parakeet-tdt-0.6b-v3,2,21,2747.860,165632
first-use-short-v3,parakeet-tdt-0.6b-v3,2,22,2878.481,165632
first-use-short-v3,parakeet-tdt-0.6b-v3,3,0,7.900,20928
first-use-short-v3,parakeet-tdt-0.6b-v3,3,1,134.055,32784
first-use-short-v3,parakeet-tdt-0.6b-v3,3,2,261.034,86832
first-use-short-v3,parakeet-tdt-0.6b-v3,3,3,391.288,118096
first-use-short-v3,parakeet-tdt-0.6b-v3,3,4,515.138,126784
first-use-short-v3,parakeet-tdt-0.6b-v3,3,5,647.262,160848
first-use-short-v3,parakeet-tdt-0.6b-v3,3,6,784.477,161824
first-use-short-v3,parakeet-tdt-0.6b-v3,3,7,909.814,161824
first-use-short-v3,parakeet-tdt-0.6b-v3,3,8,1034.790,161824
first-use-short-v3,parakeet-tdt-0.6b-v3,3,9,1169.825,161824
first-use-short-v3,parakeet-tdt-0.6b-v3,3,10,1298.901,161824
first-use-short-v3,parakeet-tdt-0.6b-v3,3,11,1423.434,161824
first-use-short-v3,parakeet-tdt-0.6b-v3,3,12,1548.418,161824
first-use-short-v3,parakeet-tdt-0.6b-v3,3,13,1673.753,161792
first-use-short-v3,parakeet-tdt-0.6b-v3,3,14,1803.340,161792
first-use-short-v3,parakeet-tdt-0.6b-v3,3,15,1935.746,161792
first-use-short-v3,parakeet-tdt-0.6b-v3,3,16,2069.284,161792
first-use-short-v3,parakeet-tdt-0.6b-v3,3,17,2205.524,161792
first-use-short-v3,parakeet-tdt-0.6b-v3,3,18,2339.961,161792
first-use-short-v3,parakeet-tdt-0.6b-v3,3,19,2475.785,161792
first-use-short-v3,parakeet-tdt-0.6b-v3,3,20,2606.755,161792
first-use-short-v3,parakeet-tdt-0.6b-v3,3,21,2733.973,161792
first-use-short-v3,parakeet-tdt-0.6b-v3,4,0,10.302,23168
first-use-short-v3,parakeet-tdt-0.6b-v3,4,1,138.230,32976
first-use-short-v3,parakeet-tdt-0.6b-v3,4,2,265.147,87024
first-use-short-v3,parakeet-tdt-0.6b-v3,4,3,391.219,114736
first-use-short-v3,parakeet-tdt-0.6b-v3,4,4,519.466,125760
first-use-short-v3,parakeet-tdt-0.6b-v3,4,5,648.605,159040
first-use-short-v3,parakeet-tdt-0.6b-v3,4,6,782.291,160544
first-use-short-v3,parakeet-tdt-0.6b-v3,4,7,907.538,160544
first-use-short-v3,parakeet-tdt-0.6b-v3,4,8,1032.838,160544
first-use-short-v3,parakeet-tdt-0.6b-v3,4,9,1157.589,160544
first-use-short-v3,parakeet-tdt-0.6b-v3,4,10,1289.326,160544
first-use-short-v3,parakeet-tdt-0.6b-v3,4,11,1427.181,160544
first-use-short-v3,parakeet-tdt-0.6b-v3,4,12,1559.812,160544
first-use-short-v3,parakeet-tdt-0.6b-v3,4,13,1697.223,160512
first-use-short-v3,parakeet-tdt-0.6b-v3,4,14,1834.938,160512
first-use-short-v3,parakeet-tdt-0.6b-v3,4,15,1974.932,160512
first-use-short-v3,parakeet-tdt-0.6b-v3,4,16,2113.883,160512
first-use-short-v3,parakeet-tdt-0.6b-v3,4,17,2248.137,160512
first-use-short-v3,parakeet-tdt-0.6b-v3,4,18,2384.171,160512
first-use-short-v3,parakeet-tdt-0.6b-v3,4,19,2527.518,160512
first-use-short-v3,parakeet-tdt-0.6b-v3,4,20,2649.369,160512
first-use-short-v3,parakeet-tdt-0.6b-v3,5,0,8.092,23184
first-use-short-v3,parakeet-tdt-0.6b-v3,5,1,135.686,32992
first-use-short-v3,parakeet-tdt-0.6b-v3,5,2,264.474,85872
first-use-short-v3,parakeet-tdt-0.6b-v3,5,3,391.603,111664
first-use-short-v3,parakeet-tdt-0.6b-v3,5,4,520.095,126528
first-use-short-v3,parakeet-tdt-0.6b-v3,5,5,645.499,160976
first-use-short-v3,parakeet-tdt-0.6b-v3,5,6,780.157,163440
first-use-short-v3,parakeet-tdt-0.6b-v3,5,7,907.336,163440
first-use-short-v3,parakeet-tdt-0.6b-v3,5,8,1034.458,163440
first-use-short-v3,parakeet-tdt-0.6b-v3,5,9,1156.664,163440
first-use-short-v3,parakeet-tdt-0.6b-v3,5,10,1283.880,163440
first-use-short-v3,parakeet-tdt-0.6b-v3,5,11,1410.532,163440
first-use-short-v3,parakeet-tdt-0.6b-v3,5,12,1538.176,163440
first-use-short-v3,parakeet-tdt-0.6b-v3,5,13,1665.162,163408
first-use-short-v3,parakeet-tdt-0.6b-v3,5,14,1790.335,163408
first-use-short-v3,parakeet-tdt-0.6b-v3,5,15,1917.327,163408
first-use-short-v3,parakeet-tdt-0.6b-v3,5,16,2041.683,163408
first-use-short-v3,parakeet-tdt-0.6b-v3,5,17,2167.471,163408
first-use-short-v3,parakeet-tdt-0.6b-v3,5,18,2296.632,163408
first-use-short-v3,parakeet-tdt-0.6b-v3,5,19,2421.229,163408
first-use-short-v3,parakeet-tdt-0.6b-v3,5,20,2549.586,163408
first-use-short-v3,parakeet-tdt-0.6b-v3,5,21,2680.063,163408
first-use-short-v3,parakeet-tdt-0.6b-v3,5,22,2809.617,163408
first-use-short-v3,parakeet-tdt-0.6b-v3,6,0,12.922,22112
first-use-short-v3,parakeet-tdt-0.6b-v3,6,1,142.412,32912
first-use-short-v3,parakeet-tdt-0.6b-v3,6,2,269.044,87088
first-use-short-v3,parakeet-tdt-0.6b-v3,6,3,391.247,115808
first-use-short-v3,parakeet-tdt-0.6b-v3,6,4,518.155,126912
first-use-short-v3,parakeet-tdt-0.6b-v3,6,5,649.161,161088
