scenario,model,instance,sample,elapsed_ms,rss_kb
steady-long-v3,parakeet-tdt-0.6b-v3,1,0,7.917,22224
steady-long-v3,parakeet-tdt-0.6b-v3,1,1,138.813,32928
steady-long-v3,parakeet-tdt-0.6b-v3,1,2,270.543,87520
steady-long-v3,parakeet-tdt-0.6b-v3,1,3,402.785,125984
steady-long-v3,parakeet-tdt-0.6b-v3,1,4,526.419,138496
steady-long-v3,parakeet-tdt-0.6b-v3,1,5,659.231,138704
steady-long-v3,parakeet-tdt-0.6b-v3,1,6,791.710,139072
steady-long-v3,parakeet-tdt-0.6b-v3,1,7,922.145,187952
steady-long-v3,parakeet-tdt-0.6b-v3,1,8,1068.519,206752
steady-long-v3,parakeet-tdt-0.6b-v3,1,9,1225.334,210160
steady-long-v3,parakeet-tdt-0.6b-v3,1,10,1371.296,221360
steady-long-v3,parakeet-tdt-0.6b-v3,1,11,1516.934,220848
steady-long-v3,parakeet-tdt-0.6b-v3,1,12,1648.803,219600
steady-long-v3,parakeet-tdt-0.6b-v3,1,13,1780.553,208560
steady-long-v3,parakeet-tdt-0.6b-v3,1,14,1910.841,209760
steady-long-v3,parakeet-tdt-0.6b-v3,1,15,2053.313,211328
steady-long-v3,parakeet-tdt-0.6b-v3,1,16,2207.373,216432
steady-long-v3,parakeet-tdt-0.6b-v3,1,17,2356.336,216112
steady-long-v3,parakeet-tdt-0.6b-v3,1,18,2506.497,214912
steady-long-v3,parakeet-tdt-0.6b-v3,1,19,2638.586,214896
steady-long-v3,parakeet-tdt-0.6b-v3,1,20,2767.903,214896
steady-long-v3,parakeet-tdt-0.6b-v3,1,21,2899.226,226160
steady-long-v3,parakeet-tdt-0.6b-v3,1,22,3042.822,228720
steady-long-v3,parakeet-tdt-0.6b-v3,1,23,3203.915,226688
steady-long-v3,parakeet-tdt-0.6b-v3,1,24,3346.208,227440
steady-long-v3,parakeet-tdt-0.6b-v3,1,25,3495.084,219056
steady-long-v3,parakeet-tdt-0.6b-v3,1,26,3626.361,219056
steady-long-v3,parakeet-tdt-0.6b-v3,1,27,3755.819,219056
steady-long-v3,parakeet-tdt-0.6b-v3,1,28,3885.259,226416
steady-long-v3,parakeet-tdt-0.6b-v3,1,29,4025.522,218848
steady-long-v3,parakeet-tdt-0.6b-v3,1,30,4177.332,219312
steady-long-v3,parakeet-tdt-0.6b-v3,1,31,4320.269,225776
steady-long-v3,parakeet-tdt-0.6b-v3,1,32,4470.806,223152
steady-long-v3,parakeet-tdt-0.6b-v3,1,33,4593.432,223152
steady-long-v3,parakeet-tdt-0.6b-v3,1,34,4718.908,223152
steady-long-v3,parakeet-tdt-0.6b-v3,1,35,4849.699,227328
steady-long-v3,parakeet-tdt-0.6b-v3,1,36,4988.748,230576
steady-long-v3,parakeet-tdt-0.6b-v3,1,37,5142.054,216512
steady-long-v3,parakeet-tdt-0.6b-v3,1,38,5280.806,213872
steady-long-v3,parakeet-tdt-0.6b-v3,1,39,5431.282,214848
steady-long-v3,parakeet-tdt-0.6b-v3,1,40,5574.136,212096
steady-long-v3,parakeet-tdt-0.6b-v3,1,41,5705.726,212112
steady-long-v3,parakeet-tdt-0.6b-v3,1,42,5835.439,212112
steady-long-v3,parakeet-tdt-0.6b-v3,1,43,5977.552,213552
steady-long-v3,parakeet-tdt-0.6b-v3,1,44,6135.882,214512
steady-long-v3,parakeet-tdt-0.6b-v3,1,45,6285.596,222928
steady-long-v3,parakeet-tdt-0.6b-v3,1,46,6438.549,214224
