scenario,model,instance,sample,elapsed_ms,rss_kb
steady-medium-v3,parakeet-tdt-0.6b-v3,1,0,8.491,22160
steady-medium-v3,parakeet-tdt-0.6b-v3,1,1,137.328,32848
steady-medium-v3,parakeet-tdt-0.6b-v3,1,2,269.359,86272
steady-medium-v3,parakeet-tdt-0.6b-v3,1,3,393.314,113632
steady-medium-v3,parakeet-tdt-0.6b-v3,1,4,517.240,125840
steady-medium-v3,parakeet-tdt-0.6b-v3,1,5,647.070,131184
steady-medium-v3,parakeet-tdt-0.6b-v3,1,6,781.509,179648
steady-medium-v3,parakeet-tdt-0.6b-v3,1,7,924.792,187888
steady-medium-v3,parakeet-tdt-0.6b-v3,1,8,1062.254,186880
steady-medium-v3,parakeet-tdt-0.6b-v3,1,9,1197.760,190448
steady-medium-v3,parakeet-tdt-0.6b-v3,1,10,1344.649,192496
steady-medium-v3,parakeet-tdt-0.6b-v3,1,11,1479.592,190848
steady-medium-v3,parakeet-tdt-0.6b-v3,1,12,1611.006,193920
steady-medium-v3,parakeet-tdt-0.6b-v3,1,13,1752.895,195456
steady-medium-v3,parakeet-tdt-0.6b-v3,1,14,1888.849,193984
steady-medium-v3,parakeet-tdt-0.6b-v3,1,15,2019.552,194240
steady-medium-v3,parakeet-tdt-0.6b-v3,1,16,2154.467,195776
steady-medium-v3,parakeet-tdt-0.6b-v3,1,17,2293.699,194144
steady-medium-v3,parakeet-tdt-0.6b-v3,1,18,2420.203,198064
steady-medium-v3,parakeet-tdt-0.6b-v3,1,19,2567.036,196880
steady-medium-v3,parakeet-tdt-0.6b-v3,1,20,2718.626,194448
steady-medium-v3,parakeet-tdt-0.6b-v3,1,21,2850.996,194448
steady-medium-v3,parakeet-tdt-0.6b-v3,1,22,2992.295,197328
steady-medium-v3,parakeet-tdt-0.6b-v3,1,23,3143.390,194960
steady-medium-v3,parakeet-tdt-0.6b-v3,1,24,3273.954,194960
steady-medium-v3,parakeet-tdt-0.6b-v3,1,25,3415.546,204336
steady-medium-v3,parakeet-tdt-0.6b-v3,1,26,3559.555,202320
steady-medium-v3,parakeet-tdt-0.6b-v3,1,27,3689.411,202320
steady-medium-v3,parakeet-tdt-0.6b-v3,1,28,3828.758,207520
steady-medium-v3,parakeet-tdt-0.6b-v3,1,29,3971.323,205968
steady-medium-v3,parakeet-tdt-0.6b-v3,1,30,4106.561,205968
steady-medium-v3,parakeet-tdt-0.6b-v3,1,31,4239.840,205968
steady-medium-v3,parakeet-tdt-0.6b-v3,1,32,4373.096,205968
steady-medium-v3,parakeet-tdt-0.6b-v3,1,33,4518.494,205968
steady-medium-v3,parakeet-tdt-0.6b-v3,1,34,4663.939,205968
steady-medium-v3,parakeet-tdt-0.6b-v3,1,35,4796.106,205968
steady-medium-v3,parakeet-tdt-0.6b-v3,1,36,4930.819,205968
steady-medium-v3,parakeet-tdt-0.6b-v3,1,37,5070.432,205968
steady-medium-v3,parakeet-tdt-0.6b-v3,1,38,5205.639,205968
steady-medium-v3,parakeet-tdt-0.6b-v3,1,39,5349.429,205904
steady-medium-v3,parakeet-tdt-0.6b-v3,1,40,5487.701,205776
steady-medium-v3,parakeet-tdt-0.6b-v3,1,41,5621.710,205776
steady-medium-v3,parakeet-tdt-0.6b-v3,1,42,5762.634,205776
steady-medium-v3,parakeet-tdt-0.6b-v3,1,43,5902.003,205792
steady-medium-v3,parakeet-tdt-0.6b-v3,1,44,6036.091,205792
