scenario,model,instance,sample,elapsed_ms,rss_kb
steady-short-v3,parakeet-tdt-0.6b-v3,1,0,8.753,22720
steady-short-v3,parakeet-tdt-0.6b-v3,1,1,134.750,33008
steady-short-v3,parakeet-tdt-0.6b-v3,1,2,266.317,86864
steady-short-v3,parakeet-tdt-0.6b-v3,1,3,390.851,116064
steady-short-v3,parakeet-tdt-0.6b-v3,1,4,530.313,124512
steady-short-v3,parakeet-tdt-0.6b-v3,1,5,670.642,137840
steady-short-v3,parakeet-tdt-0.6b-v3,1,6,819.051,156832
steady-short-v3,parakeet-tdt-0.6b-v3,1,7,956.069,164784
steady-short-v3,parakeet-tdt-0.6b-v3,1,8,1084.754,165488
steady-short-v3,parakeet-tdt-0.6b-v3,1,9,1212.154,165472
steady-short-v3,parakeet-tdt-0.6b-v3,1,10,1350.599,168000
steady-short-v3,parakeet-tdt-0.6b-v3,1,11,1488.843,164960
steady-short-v3,parakeet-tdt-0.6b-v3,1,12,1611.318,165024
steady-short-v3,parakeet-tdt-0.6b-v3,1,13,1733.377,165728
steady-short-v3,parakeet-tdt-0.6b-v3,1,14,1871.984,165872
steady-short-v3,parakeet-tdt-0.6b-v3,1,15,2010.329,165632
steady-short-v3,parakeet-tdt-0.6b-v3,1,16,2153.513,165184
steady-short-v3,parakeet-tdt-0.6b-v3,1,17,2282.568,165184
steady-short-v3,parakeet-tdt-0.6b-v3,1,18,2416.857,165184
steady-short-v3,parakeet-tdt-0.6b-v3,1,19,2543.316,165184
steady-short-v3,parakeet-tdt-0.6b-v3,1,20,2668.459,165184
steady-short-v3,parakeet-tdt-0.6b-v3,1,21,2799.611,165184
steady-short-v3,parakeet-tdt-0.6b-v3,1,22,2926.055,165184
steady-short-v3,parakeet-tdt-0.6b-v3,1,23,3064.047,165184
steady-short-v3,parakeet-tdt-0.6b-v3,1,24,3195.776,165184
steady-short-v3,parakeet-tdt-0.6b-v3,1,25,3325.395,165184
steady-short-v3,parakeet-tdt-0.6b-v3,1,26,3455.528,165184
steady-short-v3,parakeet-tdt-0.6b-v3,1,27,3592.310,165184
steady-short-v3,parakeet-tdt-0.6b-v3,1,28,3722.706,165184
steady-short-v3,parakeet-tdt-0.6b-v3,1,29,3857.418,165184
steady-short-v3,parakeet-tdt-0.6b-v3,1,30,3984.242,165184
steady-short-v3,parakeet-tdt-0.6b-v3,1,31,4109.757,165184
