scenario,run,pid,sample,elapsed_ms,rss_kb
warm-launch,1,81619,0,8.695,20592
warm-launch,1,81619,1,134.386,32928
warm-launch,1,81619,2,259.361,86528
warm-launch,1,81619,3,382.209,97088
warm-launch,1,81619,4,510.003,97312
warm-launch,1,81619,5,641.507,97680
warm-launch,1,81619,6,775.170,97680
warm-launch,1,81619,7,913.780,97680
warm-launch,1,81619,8,1042.403,97680
warm-launch,1,81619,9,1165.528,97680
warm-launch,1,81619,10,1289.076,97680
warm-launch,1,81619,11,1410.991,97680
warm-launch,1,81619,12,1535.787,97680
warm-launch,1,81619,13,1663.601,97680
warm-launch,1,81619,14,1805.971,97680
warm-launch,1,81619,15,1936.404,97680
warm-launch,1,81619,16,2062.998,97680
warm-launch,1,81619,17,2195.962,97680
warm-launch,1,81619,18,2332.327,97680
warm-launch,1,81619,19,2470.246,97680
warm-launch,1,81619,20,2610.433,97680
warm-launch,1,81619,21,2740.226,97680
warm-launch,1,81619,22,2880.483,97680
warm-launch,1,81619,23,3014.218,97680
warm-launch,2,82025,0,8.211,22592
warm-launch,2,82025,1,135.332,32848
warm-launch,2,82025,2,259.688,85424
warm-launch,2,82025,3,384.341,96960
warm-launch,2,82025,4,508.243,97216
warm-launch,2,82025,5,633.542,97584
warm-launch,2,82025,6,758.442,97584
warm-launch,2,82025,7,882.236,97584
warm-launch,2,82025,8,1006.255,97584
warm-launch,2,82025,9,1132.176,97584
warm-launch,2,82025,10,1256.277,97584
warm-launch,2,82025,11,1388.202,97584
warm-launch,2,82025,12,1516.428,97584
warm-launch,2,82025,13,1637.202,97584
warm-launch,2,82025,14,1762.275,97584
warm-launch,2,82025,15,1892.216,97584
warm-launch,2,82025,16,2020.222,97584
warm-launch,2,82025,17,2146.588,97584
warm-launch,2,82025,18,2273.789,97584
warm-launch,2,82025,19,2397.618,97584
warm-launch,2,82025,20,2526.420,97584
warm-launch,2,82025,21,2655.736,97584
warm-launch,2,82025,22,2792.428,97584
warm-launch,2,82025,23,2932.788,97584
warm-launch,2,82025,24,3072.306,97584
warm-launch,3,82454,0,9.981,20128
warm-launch,3,82454,1,137.853,32944
warm-launch,3,82454,2,263.637,85840
warm-launch,3,82454,3,390.158,97072
warm-launch,3,82454,4,516.651,97344
warm-launch,3,82454,5,647.806,97728
warm-launch,3,82454,6,775.640,97728
warm-launch,3,82454,7,898.862,97728
warm-launch,3,82454,8,1021.131,97728
warm-launch,3,82454,9,1144.182,97728
warm-launch,3,82454,10,1269.860,97728
warm-launch,3,82454,11,1397.795,97728
warm-launch,3,82454,12,1535.287,97728
warm-launch,3,82454,13,1669.080,97728
warm-launch,3,82454,14,1801.003,97728
warm-launch,3,82454,15,1935.482,97728
warm-launch,3,82454,16,2073.107,97728
warm-launch,3,82454,17,2206.155,97728
warm-launch,3,82454,18,2342.364,97728
warm-launch,3,82454,19,2492.475,97728
warm-launch,3,82454,20,2624.842,97728
warm-launch,3,82454,21,2755.053,97728
warm-launch,3,82454,22,2889.885,97728
warm-launch,3,82454,23,3023.663,97728
warm-launch,4,82874,0,11.908,22288
warm-launch,4,82874,1,139.450,32896
warm-launch,4,82874,2,265.877,84944
warm-launch,4,82874,3,392.088,97392
warm-launch,4,82874,4,518.865,97536
warm-launch,4,82874,5,646.982,97904
warm-launch,4,82874,6,772.868,97904
warm-launch,4,82874,7,894.694,97904
warm-launch,4,82874,8,1018.986,97904
warm-launch,4,82874,9,1146.070,97904
warm-launch,4,82874,10,1269.973,97904
warm-launch,4,82874,11,1401.748,97904
