scenario,run,pid,name,type,start_timestamp,end_timestamp,duration_ms
warm-launch,1,81619,process_started,event,2026-07-13 19:55:06.509050+0200,,
warm-launch,1,81619,retained_store_opening,interval,2026-07-13 19:55:06.514504+0200,2026-07-13 19:55:06.530298+0200,15.794
warm-launch,1,81619,service_container_construction,interval,2026-07-13 19:55:06.509385+0200,2026-07-13 19:55:06.624483+0200,115.098
warm-launch,1,81619,app_initialization,interval,2026-07-13 19:55:06.509368+0200,2026-07-13 19:55:06.624553+0200,115.185
warm-launch,1,81619,hotkey_registration,interval,2026-07-13 19:55:06.783133+0200,2026-07-13 19:55:06.808169+0200,25.036
warm-launch,1,81619,hotkey_ready,event,2026-07-13 19:55:06.808184+0200,,
warm-launch,1,81619,built_in_component_construction,interval,2026-07-13 19:55:06.808666+0200,2026-07-13 19:55:06.820901+0200,12.235
warm-launch,1,81619,model_selection_restoration,interval,2026-07-13 19:55:06.820917+0200,2026-07-13 19:55:06.821014+0200,0.097
warm-launch,1,81619,service_container_initialization,interval,2026-07-13 19:55:06.783115+0200,2026-07-13 19:55:06.821062+0200,37.947
warm-launch,1,81619,ui_ready,event,2026-07-13 19:55:06.822191+0200,,
warm-launch,1,81619,process_to_ui_ready,interval,2026-07-13 19:55:06.508741+0200,2026-07-13 19:55:06.822199+0200,313.458
warm-launch,2,82025,process_started,event,2026-07-13 19:55:10.651211+0200,,
warm-launch,2,82025,retained_store_opening,interval,2026-07-13 19:55:10.656160+0200,2026-07-13 19:55:10.670555+0200,14.395
warm-launch,2,82025,service_container_construction,interval,2026-07-13 19:55:10.651483+0200,2026-07-13 19:55:10.767451+0200,115.968
warm-launch,2,82025,app_initialization,interval,2026-07-13 19:55:10.651468+0200,2026-07-13 19:55:10.767523+0200,116.055
warm-launch,2,82025,hotkey_registration,interval,2026-07-13 19:55:10.937042+0200,2026-07-13 19:55:10.962764+0200,25.722
warm-launch,2,82025,hotkey_ready,event,2026-07-13 19:55:10.962779+0200,,
warm-launch,2,82025,built_in_component_construction,interval,2026-07-13 19:55:10.963272+0200,2026-07-13 19:55:10.976179+0200,12.907
warm-launch,2,82025,model_selection_restoration,interval,2026-07-13 19:55:10.976196+0200,2026-07-13 19:55:10.976303+0200,0.107
warm-launch,2,82025,service_container_initialization,interval,2026-07-13 19:55:10.937022+0200,2026-07-13 19:55:10.976354+0200,39.332
warm-launch,2,82025,ui_ready,event,2026-07-13 19:55:10.977534+0200,,
