scenario,model,instance,sample,elapsed_ms,rss_kb
first-use-short-v2,parakeet-tdt-0.6b-v2,1,0,11.361,22592
first-use-short-v2,parakeet-tdt-0.6b-v2,1,1,138.920,32080
first-use-short-v2,parakeet-tdt-0.6b-v2,1,2,268.470,82112
first-use-short-v2,parakeet-tdt-0.6b-v2,1,3,399.012,106368
first-use-short-v2,parakeet-tdt-0.6b-v2,1,4,522.922,121616
first-use-short-v2,parakeet-tdt-0.6b-v2,1,5,655.409,126784
first-use-short-v2,parakeet-tdt-0.6b-v2,1,6,825.022,157248
first-use-short-v2,parakeet-tdt-0.6b-v2,1,7,973.208,168944
first-use-short-v2,parakeet-tdt-0.6b-v2,1,8,1098.389,169008
first-use-short-v2,parakeet-tdt-0.6b-v2,1,9,1226.234,169008
first-use-short-v2,parakeet-tdt-0.6b-v2,1,10,1353.471,169008
first-use-short-v2,parakeet-tdt-0.6b-v2,1,11,1480.254,169008
first-use-short-v2,parakeet-tdt-0.6b-v2,1,12,1606.065,169008
first-use-short-v2,parakeet-tdt-0.6b-v2,1,13,1733.108,169008
first-use-short-v2,parakeet-tdt-0.6b-v2,1,14,1864.221,169008
first-use-short-v2,parakeet-tdt-0.6b-v2,1,15,1994.977,169008
first-use-short-v2,parakeet-tdt-0.6b-v2,1,16,2127.003,169008
first-use-short-v2,parakeet-tdt-0.6b-v2,1,17,2255.828,169008
first-use-short-v2,parakeet-tdt-0.6b-v2,1,18,2383.109,169008
first-use-short-v2,parakeet-tdt-0.6b-v2,1,19,2520.218,169008
first-use-short-v2,parakeet-tdt-0.6b-v2,1,20,2652.776,169008
first-use-short-v2,parakeet-tdt-0.6b-v2,1,21,2787.750,169008
first-use-short-v2,parakeet-tdt-0.6b-v2,1,22,2922.968,169008
first-use-short-v2,parakeet-tdt-0.6b-v2,2,0,13.262,24608
first-use-short-v2,parakeet-tdt-0.6b-v2,2,1,139.981,32304
first-use-short-v2,parakeet-tdt-0.6b-v2,2,2,268.228,81360
first-use-short-v2,parakeet-tdt-0.6b-v2,2,3,396.140,107120
first-use-short-v2,parakeet-tdt-0.6b-v2,2,4,523.128,123440
first-use-short-v2,parakeet-tdt-0.6b-v2,2,5,651.256,150736
first-use-short-v2,parakeet-tdt-0.6b-v2,2,6,777.304,169968
first-use-short-v2,parakeet-tdt-0.6b-v2,2,7,908.679,169968
first-use-short-v2,parakeet-tdt-0.6b-v2,2,8,1040.467,169968
first-use-short-v2,parakeet-tdt-0.6b-v2,2,9,1168.783,169968
first-use-short-v2,parakeet-tdt-0.6b-v2,2,10,1292.440,169968
first-use-short-v2,parakeet-tdt-0.6b-v2,2,11,1417.609,169968
first-use-short-v2,parakeet-tdt-0.6b-v2,2,12,1545.046,169968
first-use-short-v2,parakeet-tdt-0.6b-v2,2,13,1672.976,169968
first-use-short-v2,parakeet-tdt-0.6b-v2,2,14,1806.224,169952
first-use-short-v2,parakeet-tdt-0.6b-v2,2,15,1938.872,169952
first-use-short-v2,parakeet-tdt-0.6b-v2,2,16,2070.199,169952
first-use-short-v2,parakeet-tdt-0.6b-v2,2,17,2204.567,169952
first-use-short-v2,parakeet-tdt-0.6b-v2,2,18,2338.108,169952
first-use-short-v2,parakeet-tdt-0.6b-v2,2,19,2473.247,169952
first-use-short-v2,parakeet-tdt-0.6b-v2,2,20,2654.486,169952
first-use-short-v2,parakeet-tdt-0.6b-v2,3,0,11.023,22368
first-use-short-v2,parakeet-tdt-0.6b-v2,3,1,142.402,32016
first-use-short-v2,parakeet-tdt-0.6b-v2,3,2,271.233,82128
first-use-short-v2,parakeet-tdt-0.6b-v2,3,3,393.662,107408
first-use-short-v2,parakeet-tdt-0.6b-v2,3,4,520.828,123200
first-use-short-v2,parakeet-tdt-0.6b-v2,3,5,642.322,153504
first-use-short-v2,parakeet-tdt-0.6b-v2,3,6,768.586,172304
first-use-short-v2,parakeet-tdt-0.6b-v2,3,7,890.864,172304
first-use-short-v2,parakeet-tdt-0.6b-v2,3,8,1015.233,172304
first-use-short-v2,parakeet-tdt-0.6b-v2,3,9,1143.306,172304
first-use-short-v2,parakeet-tdt-0.6b-v2,3,10,1276.923,172304
first-use-short-v2,parakeet-tdt-0.6b-v2,3,11,1412.675,172304
first-use-short-v2,parakeet-tdt-0.6b-v2,3,12,1551.818,172304
first-use-short-v2,parakeet-tdt-0.6b-v2,3,13,1689.858,172304
first-use-short-v2,parakeet-tdt-0.6b-v2,3,14,1828.729,172304
first-use-short-v2,parakeet-tdt-0.6b-v2,3,15,1970.818,172304
first-use-short-v2,parakeet-tdt-0.6b-v2,3,16,2111.447,172304
first-use-short-v2,parakeet-tdt-0.6b-v2,3,17,2244.825,172304
first-use-short-v2,parakeet-tdt-0.6b-v2,3,18,2382.236,172304
first-use-short-v2,parakeet-tdt-0.6b-v2,3,19,2523.279,172304
first-use-short-v2,parakeet-tdt-0.6b-v2,3,20,2656.903,172304
first-use-short-v2,parakeet-tdt-0.6b-v2,3,21,2802.404,172304
first-use-short-v2,parakeet-tdt-0.6b-v2,4,0,8.438,22352
first-use-short-v2,parakeet-tdt-0.6b-v2,4,1,135.987,32416
first-use-short-v2,parakeet-tdt-0.6b-v2,4,2,262.816,82256
first-use-short-v2,parakeet-tdt-0.6b-v2,4,3,386.544,100432
first-use-short-v2,parakeet-tdt-0.6b-v2,4,4,511.677,117184
first-use-short-v2,parakeet-tdt-0.6b-v2,4,5,637.473,149248
first-use-short-v2,parakeet-tdt-0.6b-v2,4,6,766.961,170448
first-use-short-v2,parakeet-tdt-0.6b-v2,4,7,893.577,170544
first-use-short-v2,parakeet-tdt-0.6b-v2,4,8,1021.031,170544
first-use-short-v2,parakeet-tdt-0.6b-v2,4,9,1147.701,170544
first-use-short-v2,parakeet-tdt-0.6b-v2,4,10,1275.437,170544
first-use-short-v2,parakeet-tdt-0.6b-v2,4,11,1402.125,170544
first-use-short-v2,parakeet-tdt-0.6b-v2,4,12,1532.161,170544
first-use-short-v2,parakeet-tdt-0.6b-v2,4,13,1659.375,170544
first-use-short-v2,parakeet-tdt-0.6b-v2,4,14,1787.299,170528
first-use-short-v2,parakeet-tdt-0.6b-v2,4,15,1913.738,170528
first-use-short-v2,parakeet-tdt-0.6b-v2,4,16,2048.583,170528
first-use-short-v2,parakeet-tdt-0.6b-v2,4,17,2178.334,170528
first-use-short-v2,parakeet-tdt-0.6b-v2,4,18,2323.581,170528
first-use-short-v2,parakeet-tdt-0.6b-v2,4,19,2455.576,170528
first-use-short-v2,parakeet-tdt-0.6b-v2,4,20,2588.466,170528
first-use-short-v2,parakeet-tdt-0.6b-v2,4,21,2720.200,170528
first-use-short-v2,parakeet-tdt-0.6b-v2,4,22,2848.598,170528
