scenario,run,pid,name,type,start_timestamp,end_timestamp,duration_ms
first-use-short-v3,1,74736,process_started,event,2026-07-13 22:47:08.489404+0200,,
first-use-short-v3,1,74736,hotkey_registration,interval,2026-07-13 22:47:08.512154+0200,2026-07-13 22:47:08.542726+0200,30.572
first-use-short-v3,1,74736,hotkey_ready,event,2026-07-13 22:47:08.542740+0200,,
first-use-short-v3,1,74736,retained_store_opening,interval,2026-07-13 22:47:08.542846+0200,2026-07-13 22:47:08.565930+0200,23.084
first-use-short-v3,1,74736,service_container_construction,interval,2026-07-13 22:47:08.493146+0200,2026-07-13 22:47:08.679433+0200,186.287
first-use-short-v3,1,74736,app_initialization,interval,2026-07-13 22:47:08.493117+0200,2026-07-13 22:47:08.679773+0200,186.656
first-use-short-v3,1,74736,model_selection_restoration,interval,2026-07-13 22:47:08.779232+0200,2026-07-13 22:47:08.779293+0200,0.061
first-use-short-v3,1,74736,ui_ready,event,2026-07-13 22:47:08.876555+0200,,
first-use-short-v3,1,74736,process_to_ui_ready,interval,2026-07-13 22:47:08.488975+0200,2026-07-13 22:47:08.876570+0200,387.595
first-use-short-v3,1,74736,model_preparation,interval,2026-07-13 22:47:08.873902+0200,2026-07-13 22:47:09.183692+0200,309.790
first-use-short-v3,1,74736,final_transcription,interval,2026-07-13 22:47:08.873877+0200,2026-07-13 22:47:09.471983+0200,598.106
first-use-short-v3,2,75293,process_started,event,2026-07-13 22:47:12.815817+0200,,
first-use-short-v3,2,75293,hotkey_registration,interval,2026-07-13 22:47:12.830767+0200,2026-07-13 22:47:12.860301+0200,29.534
first-use-short-v3,2,75293,hotkey_ready,event,2026-07-13 22:47:12.860320+0200,,
first-use-short-v3,2,75293,retained_store_opening,interval,2026-07-13 22:47:12.860346+0200,2026-07-13 22:47:12.898744+0200,38.398
first-use-short-v3,2,75293,service_container_construction,interval,2026-07-13 22:47:12.818653+0200,2026-07-13 22:47:12.999430+0200,180.777
first-use-short-v3,2,75293,app_initialization,interval,2026-07-13 22:47:12.818632+0200,2026-07-13 22:47:12.999491+0200,180.859
first-use-short-v3,2,75293,model_selection_restoration,interval,2026-07-13 22:47:13.166087+0200,2026-07-13 22:47:13.166173+0200,0.086
first-use-short-v3,2,75293,ui_ready,event,2026-07-13 22:47:13.167583+0200,,
first-use-short-v3,2,75293,process_to_ui_ready,interval,2026-07-13 22:47:12.815511+0200,2026-07-13 22:47:13.167600+0200,352.089
first-use-short-v3,2,75293,model_preparation,interval,2026-07-13 22:47:13.206770+0200,2026-07-13 22:47:13.389398+0200,182.628
first-use-short-v3,2,75293,final_transcription,interval,2026-07-13 22:47:13.206740+0200,2026-07-13 22:47:13.570407+0200,363.667
