scenario,model,instance,sample,elapsed_ms,rss_kb
steady-long-v3,parakeet-tdt-0.6b-v3,1,0,10.047,17648
steady-long-v3,parakeet-tdt-0.6b-v3,1,1,136.588,32048
steady-long-v3,parakeet-tdt-0.6b-v3,1,2,263.559,55824
steady-long-v3,parakeet-tdt-0.6b-v3,1,3,390.218,97008
steady-long-v3,parakeet-tdt-0.6b-v3,1,4,521.409,130656
steady-long-v3,parakeet-tdt-0.6b-v3,1,5,658.959,133184
steady-long-v3,parakeet-tdt-0.6b-v3,1,6,806.053,172848
steady-long-v3,parakeet-tdt-0.6b-v3,1,7,969.021,204688
steady-long-v3,parakeet-tdt-0.6b-v3,1,8,1124.425,204128
steady-long-v3,parakeet-tdt-0.6b-v3,1,9,1254.258,215184
steady-long-v3,parakeet-tdt-0.6b-v3,1,10,1396.005,210192
steady-long-v3,parakeet-tdt-0.6b-v3,1,11,1542.753,208288
steady-long-v3,parakeet-tdt-0.6b-v3,1,12,1668.989,228432
steady-long-v3,parakeet-tdt-0.6b-v3,1,13,1808.822,230720
steady-long-v3,parakeet-tdt-0.6b-v3,1,14,1968.649,228784
steady-long-v3,parakeet-tdt-0.6b-v3,1,15,2108.153,231312
steady-long-v3,parakeet-tdt-0.6b-v3,1,16,2260.977,214080
steady-long-v3,parakeet-tdt-0.6b-v3,1,17,2398.325,227792
steady-long-v3,parakeet-tdt-0.6b-v3,1,18,2539.271,225232
steady-long-v3,parakeet-tdt-0.6b-v3,1,19,2686.539,214432
steady-long-v3,parakeet-tdt-0.6b-v3,1,20,2829.796,225616
steady-long-v3,parakeet-tdt-0.6b-v3,1,21,2984.545,215632
steady-long-v3,parakeet-tdt-0.6b-v3,1,22,3136.721,213488
steady-long-v3,parakeet-tdt-0.6b-v3,1,23,3261.055,229888
steady-long-v3,parakeet-tdt-0.6b-v3,1,24,3412.469,230512
steady-long-v3,parakeet-tdt-0.6b-v3,1,25,3589.345,215040
steady-long-v3,parakeet-tdt-0.6b-v3,1,26,3736.036,218448
steady-long-v3,parakeet-tdt-0.6b-v3,1,27,3895.796,214992
steady-long-v3,parakeet-tdt-0.6b-v3,1,28,4025.864,214992
steady-long-v3,parakeet-tdt-0.6b-v3,1,29,4169.658,218016
steady-long-v3,parakeet-tdt-0.6b-v3,1,30,4329.352,219040
steady-long-v3,parakeet-tdt-0.6b-v3,1,31,4462.069,216416
steady-long-v3,parakeet-tdt-0.6b-v3,1,32,4609.414,218608
steady-long-v3,parakeet-tdt-0.6b-v3,1,33,4753.069,215536
steady-long-v3,parakeet-tdt-0.6b-v3,1,34,4882.830,223600
steady-long-v3,parakeet-tdt-0.6b-v3,1,35,5037.784,220384
steady-long-v3,parakeet-tdt-0.6b-v3,1,36,5190.032,215712
steady-long-v3,parakeet-tdt-0.6b-v3,1,37,5337.874,217792
steady-long-v3,parakeet-tdt-0.6b-v3,1,38,5490.268,215792
steady-long-v3,parakeet-tdt-0.6b-v3,1,39,5617.864,229776
steady-long-v3,parakeet-tdt-0.6b-v3,1,40,5760.570,216960
steady-long-v3,parakeet-tdt-0.6b-v3,1,41,5921.134,216448
steady-long-v3,parakeet-tdt-0.6b-v3,1,42,6070.785,200944
steady-long-v3,parakeet-tdt-0.6b-v3,1,43,6229.648,200224
steady-long-v3,parakeet-tdt-0.6b-v3,1,44,6371.140,197216
steady-long-v3,parakeet-tdt-0.6b-v3,1,45,6510.987,199600
steady-long-v3,parakeet-tdt-0.6b-v3,1,46,6660.467,201728
steady-long-v3,parakeet-tdt-0.6b-v3,1,47,6808.984,194304
steady-long-v3,parakeet-tdt-0.6b-v3,1,48,6978.632,193952
steady-long-v3,parakeet-tdt-0.6b-v3,1,49,7119.738,191360
steady-long-v3,parakeet-tdt-0.6b-v3,1,50,7251.791,190880
steady-long-v3,parakeet-tdt-0.6b-v3,1,51,7379.404,190656
steady-long-v3,parakeet-tdt-0.6b-v3,1,52,7522.722,190656
steady-long-v3,parakeet-tdt-0.6b-v3,1,53,7660.230,190656
steady-long-v3,parakeet-tdt-0.6b-v3,1,54,7789.809,190656
steady-long-v3,parakeet-tdt-0.6b-v3,1,55,7926.596,190656
steady-long-v3,parakeet-tdt-0.6b-v3,1,56,8054.603,190656
steady-long-v3,parakeet-tdt-0.6b-v3,1,57,8183.471,190656
steady-long-v3,parakeet-tdt-0.6b-v3,1,58,8321.151,190656
steady-long-v3,parakeet-tdt-0.6b-v3,1,59,8454.380,190656
steady-long-v3,parakeet-tdt-0.6b-v3,1,60,8585.854,190656
steady-long-v3,parakeet-tdt-0.6b-v3,1,61,8723.779,190656
steady-long-v3,parakeet-tdt-0.6b-v3,1,62,8856.746,190656
steady-long-v3,parakeet-tdt-0.6b-v3,1,63,8984.482,190656
steady-long-v3,parakeet-tdt-0.6b-v3,1,64,9111.844,190608
