scenario,run,pid,name,type,start_timestamp,end_timestamp,duration_ms
steady-long-v3,1,73244,process_started,event,2026-07-13 22:46:24.031754+0200,,
steady-long-v3,1,73244,hotkey_registration,interval,2026-07-13 22:46:24.053823+0200,2026-07-13 22:46:24.086017+0200,32.194
steady-long-v3,1,73244,hotkey_ready,event,2026-07-13 22:46:24.086033+0200,,
steady-long-v3,1,73244,retained_store_opening,interval,2026-07-13 22:46:24.086203+0200,2026-07-13 22:46:24.108035+0200,21.832
steady-long-v3,1,73244,service_container_construction,interval,2026-07-13 22:46:24.035283+0200,2026-07-13 22:46:24.216495+0200,181.212
steady-long-v3,1,73244,app_initialization,interval,2026-07-13 22:46:24.035241+0200,2026-07-13 22:46:24.216990+0200,181.749
steady-long-v3,1,73244,model_selection_restoration,interval,2026-07-13 22:46:24.394654+0200,2026-07-13 22:46:24.394727+0200,0.073
steady-long-v3,1,73244,ui_ready,event,2026-07-13 22:46:24.395962+0200,,
steady-long-v3,1,73244,process_to_ui_ready,interval,2026-07-13 22:46:24.031447+0200,2026-07-13 22:46:24.395978+0200,364.531
steady-long-v3,1,73244,model_preparation,interval,2026-07-13 22:46:24.434131+0200,2026-07-13 22:46:24.680152+0200,246.021
steady-long-v3,1,73244,final_transcription,interval,2026-07-13 22:46:24.434102+0200,2026-07-13 22:46:25.665866+0200,1231.764
steady-long-v3,1,73244,model_preparation,interval,2026-07-13 22:46:25.666133+0200,2026-07-13 22:46:25.666141+0200,0.008
steady-long-v3,1,73244,final_transcription,interval,2026-07-13 22:46:25.666121+0200,2026-07-13 22:46:26.409416+0200,743.295
steady-long-v3,1,73244,model_preparation,interval,2026-07-13 22:46:26.409544+0200,2026-07-13 22:46:26.409551+0200,0.007
steady-long-v3,1,73244,final_transcription,interval,2026-07-13 22:46:26.409533+0200,2026-07-13 22:46:27.212280+0200,802.747
steady-long-v3,1,73244,model_preparation,interval,2026-07-13 22:46:27.212443+0200,2026-07-13 22:46:27.212449+0200,0.006
steady-long-v3,1,73244,final_transcription,interval,2026-07-13 22:46:27.212431+0200,2026-07-13 22:46:27.992825+0200,780.394
steady-long-v3,1,73244,model_preparation,interval,2026-07-13 22:46:27.992944+0200,2026-07-13 22:46:27.992950+0200,0.006
steady-long-v3,1,73244,final_transcription,interval,2026-07-13 22:46:27.992934+0200,2026-07-13 22:46:28.814687+0200,821.753
steady-long-v3,1,73244,model_preparation,interval,2026-07-13 22:46:28.814823+0200,2026-07-13 22:46:28.814829+0200,0.006
steady-long-v3,1,73244,final_transcription,interval,2026-07-13 22:46:28.814805+0200,2026-07-13 22:46:29.626451+0200,811.646
steady-long-v3,1,73244,model_preparation,interval,2026-07-13 22:46:29.626582+0200,2026-07-13 22:46:29.626588+0200,0.006
steady-long-v3,1,73244,final_transcription,interval,2026-07-13 22:46:29.626564+0200,2026-07-13 22:46:30.390201+0200,763.637
steady-long-v3,1,73244,model_preparation,interval,2026-07-13 22:46:30.390336+0200,2026-07-13 22:46:30.390341+0200,0.005
steady-long-v3,1,73244,final_transcription,interval,2026-07-13 22:46:30.390324+0200,2026-07-13 22:46:31.152069+0200,761.745
