scenario,model,instance,sample,elapsed_ms,rss_kb
steady-medium-v3,parakeet-tdt-0.6b-v3,1,0,9.372,16272
steady-medium-v3,parakeet-tdt-0.6b-v3,1,1,137.775,32064
steady-medium-v3,parakeet-tdt-0.6b-v3,1,2,262.995,49360
steady-medium-v3,parakeet-tdt-0.6b-v3,1,3,391.907,91296
steady-medium-v3,parakeet-tdt-0.6b-v3,1,4,518.235,104176
steady-medium-v3,parakeet-tdt-0.6b-v3,1,5,646.798,118144
steady-medium-v3,parakeet-tdt-0.6b-v3,1,6,795.420,126416
steady-medium-v3,parakeet-tdt-0.6b-v3,1,7,963.312,146976
steady-medium-v3,parakeet-tdt-0.6b-v3,1,8,1097.642,179680
steady-medium-v3,parakeet-tdt-0.6b-v3,1,9,1265.243,186848
steady-medium-v3,parakeet-tdt-0.6b-v3,1,10,1392.686,188544
steady-medium-v3,parakeet-tdt-0.6b-v3,1,11,1533.748,191440
steady-medium-v3,parakeet-tdt-0.6b-v3,1,12,1676.713,189232
steady-medium-v3,parakeet-tdt-0.6b-v3,1,13,1824.066,195088
steady-medium-v3,parakeet-tdt-0.6b-v3,1,14,1973.472,195728
steady-medium-v3,parakeet-tdt-0.6b-v3,1,15,2098.105,209024
steady-medium-v3,parakeet-tdt-0.6b-v3,1,16,2245.757,211872
steady-medium-v3,parakeet-tdt-0.6b-v3,1,17,2410.470,198352
steady-medium-v3,parakeet-tdt-0.6b-v3,1,18,2546.156,210144
steady-medium-v3,parakeet-tdt-0.6b-v3,1,19,2695.239,205184
steady-medium-v3,parakeet-tdt-0.6b-v3,1,20,2827.067,202384
steady-medium-v3,parakeet-tdt-0.6b-v3,1,21,2967.441,207840
steady-medium-v3,parakeet-tdt-0.6b-v3,1,22,3116.805,205984
steady-medium-v3,parakeet-tdt-0.6b-v3,1,23,3247.880,209984
steady-medium-v3,parakeet-tdt-0.6b-v3,1,24,3391.937,199776
steady-medium-v3,parakeet-tdt-0.6b-v3,1,25,3529.567,209888
steady-medium-v3,parakeet-tdt-0.6b-v3,1,26,3670.494,201216
steady-medium-v3,parakeet-tdt-0.6b-v3,1,27,3809.500,198656
steady-medium-v3,parakeet-tdt-0.6b-v3,1,28,3938.634,198416
steady-medium-v3,parakeet-tdt-0.6b-v3,1,29,4071.247,198416
steady-medium-v3,parakeet-tdt-0.6b-v3,1,30,4204.586,198416
steady-medium-v3,parakeet-tdt-0.6b-v3,1,31,4346.559,198416
steady-medium-v3,parakeet-tdt-0.6b-v3,1,32,4483.632,198416
steady-medium-v3,parakeet-tdt-0.6b-v3,1,33,4624.977,198416
steady-medium-v3,parakeet-tdt-0.6b-v3,1,34,4767.773,198416
steady-medium-v3,parakeet-tdt-0.6b-v3,1,35,4907.150,198416
steady-medium-v3,parakeet-tdt-0.6b-v3,1,36,5038.279,198416
steady-medium-v3,parakeet-tdt-0.6b-v3,1,37,5171.792,198416
steady-medium-v3,parakeet-tdt-0.6b-v3,1,38,5308.483,198416
steady-medium-v3,parakeet-tdt-0.6b-v3,1,39,5453.212,198320
steady-medium-v3,parakeet-tdt-0.6b-v3,1,40,5584.871,198256
steady-medium-v3,parakeet-tdt-0.6b-v3,1,41,5719.144,198256
steady-medium-v3,parakeet-tdt-0.6b-v3,1,42,5852.117,198256
steady-medium-v3,parakeet-tdt-0.6b-v3,1,43,5981.619,198832
