scenario,run,pid,name,type,start_timestamp,end_timestamp,duration_ms
steady-medium-v3,1,72157,process_started,event,2026-07-13 22:46:00.698643+0200,,
steady-medium-v3,1,72157,hotkey_registration,interval,2026-07-13 22:46:00.723330+0200,2026-07-13 22:46:00.755081+0200,31.751
steady-medium-v3,1,72157,hotkey_ready,event,2026-07-13 22:46:00.755097+0200,,
steady-medium-v3,1,72157,retained_store_opening,interval,2026-07-13 22:46:00.755316+0200,2026-07-13 22:46:00.779548+0200,24.232
steady-medium-v3,1,72157,service_container_construction,interval,2026-07-13 22:46:00.702849+0200,2026-07-13 22:46:00.889989+0200,187.140
steady-medium-v3,1,72157,app_initialization,interval,2026-07-13 22:46:00.702813+0200,2026-07-13 22:46:00.890348+0200,187.535
steady-medium-v3,1,72157,model_selection_restoration,interval,2026-07-13 22:46:01.079100+0200,2026-07-13 22:46:01.079169+0200,0.069
steady-medium-v3,1,72157,ui_ready,event,2026-07-13 22:46:01.080291+0200,,
steady-medium-v3,1,72157,process_to_ui_ready,interval,2026-07-13 22:46:00.698344+0200,2026-07-13 22:46:01.080299+0200,381.955
steady-medium-v3,1,72157,model_preparation,interval,2026-07-13 22:46:01.261194+0200,2026-07-13 22:46:01.597590+0200,336.396
steady-medium-v3,1,72157,final_transcription,interval,2026-07-13 22:46:01.261154+0200,2026-07-13 22:46:02.036770+0200,775.616
steady-medium-v3,1,72157,model_preparation,interval,2026-07-13 22:46:02.036976+0200,2026-07-13 22:46:02.036992+0200,0.016
steady-medium-v3,1,72157,final_transcription,interval,2026-07-13 22:46:02.036962+0200,2026-07-13 22:46:02.395414+0200,358.452
steady-medium-v3,1,72157,model_preparation,interval,2026-07-13 22:46:02.395532+0200,2026-07-13 22:46:02.395541+0200,0.009
steady-medium-v3,1,72157,final_transcription,interval,2026-07-13 22:46:02.395518+0200,2026-07-13 22:46:02.764813+0200,369.295
steady-medium-v3,1,72157,model_preparation,interval,2026-07-13 22:46:02.764919+0200,2026-07-13 22:46:02.764925+0200,0.006
steady-medium-v3,1,72157,final_transcription,interval,2026-07-13 22:46:02.764909+0200,2026-07-13 22:46:03.131119+0200,366.210
steady-medium-v3,1,72157,model_preparation,interval,2026-07-13 22:46:03.131255+0200,2026-07-13 22:46:03.131261+0200,0.006
steady-medium-v3,1,72157,final_transcription,interval,2026-07-13 22:46:03.131245+0200,2026-07-13 22:46:03.507336+0200,376.091
steady-medium-v3,1,72157,model_preparation,interval,2026-07-13 22:46:03.507461+0200,2026-07-13 22:46:03.507467+0200,0.006
steady-medium-v3,1,72157,final_transcription,interval,2026-07-13 22:46:03.507450+0200,2026-07-13 22:46:03.855463+0200,348.013
steady-medium-v3,1,72157,model_preparation,interval,2026-07-13 22:46:03.855622+0200,2026-07-13 22:46:03.855628+0200,0.006
steady-medium-v3,1,72157,final_transcription,interval,2026-07-13 22:46:03.855609+0200,2026-07-13 22:46:04.182358+0200,326.749
steady-medium-v3,1,72157,model_preparation,interval,2026-07-13 22:46:04.182489+0200,2026-07-13 22:46:04.182496+0200,0.007
steady-medium-v3,1,72157,final_transcription,interval,2026-07-13 22:46:04.182478+0200,2026-07-13 22:46:04.528544+0200,346.066
