scenario,model,instance,sample,elapsed_ms,rss_kb
steady-short-v3,parakeet-tdt-0.6b-v3,1,0,12.673,22496
steady-short-v3,parakeet-tdt-0.6b-v3,1,1,144.374,32384
steady-short-v3,parakeet-tdt-0.6b-v3,1,2,273.395,83680
steady-short-v3,parakeet-tdt-0.6b-v3,1,3,401.637,108976
steady-short-v3,parakeet-tdt-0.6b-v3,1,4,530.391,123712
steady-short-v3,parakeet-tdt-0.6b-v3,1,5,685.260,133216
steady-short-v3,parakeet-tdt-0.6b-v3,1,6,825.581,160560
steady-short-v3,parakeet-tdt-0.6b-v3,1,7,961.817,163184
steady-short-v3,parakeet-tdt-0.6b-v3,1,8,1095.923,163136
steady-short-v3,parakeet-tdt-0.6b-v3,1,9,1226.537,163824
steady-short-v3,parakeet-tdt-0.6b-v3,1,10,1358.637,167712
steady-short-v3,parakeet-tdt-0.6b-v3,1,11,1489.792,167744
steady-short-v3,parakeet-tdt-0.6b-v3,1,12,1624.525,167552
steady-short-v3,parakeet-tdt-0.6b-v3,1,13,1760.626,167328
steady-short-v3,parakeet-tdt-0.6b-v3,1,14,1897.163,163392
steady-short-v3,parakeet-tdt-0.6b-v3,1,15,2024.277,163424
steady-short-v3,parakeet-tdt-0.6b-v3,1,16,2151.926,163424
steady-short-v3,parakeet-tdt-0.6b-v3,1,17,2278.488,163424
steady-short-v3,parakeet-tdt-0.6b-v3,1,18,2402.161,163424
steady-short-v3,parakeet-tdt-0.6b-v3,1,19,2532.058,163424
steady-short-v3,parakeet-tdt-0.6b-v3,1,20,2660.927,163424
steady-short-v3,parakeet-tdt-0.6b-v3,1,21,2788.781,163424
steady-short-v3,parakeet-tdt-0.6b-v3,1,22,2918.278,163424
steady-short-v3,parakeet-tdt-0.6b-v3,1,23,3048.960,163424
steady-short-v3,parakeet-tdt-0.6b-v3,1,24,3181.188,163424
steady-short-v3,parakeet-tdt-0.6b-v3,1,25,3313.892,163424
steady-short-v3,parakeet-tdt-0.6b-v3,1,26,3444.593,163424
steady-short-v3,parakeet-tdt-0.6b-v3,1,27,3577.084,163424
steady-short-v3,parakeet-tdt-0.6b-v3,1,28,3700.287,163424
steady-short-v3,parakeet-tdt-0.6b-v3,1,29,3832.207,163424
steady-short-v3,parakeet-tdt-0.6b-v3,1,30,3959.645,163424
