scenario,run,pid,sample,elapsed_ms,rss_kb
warm-launch,1,55092,0,10.071,32
warm-launch,1,55092,1,144.521,32
warm-launch,1,55092,2,275.820,32
warm-launch,1,55092,3,403.695,32
warm-launch,1,55092,4,531.898,32
warm-launch,1,55092,5,659.920,224
warm-launch,1,55092,6,792.614,224
warm-launch,1,55092,7,926.398,224
warm-launch,1,55092,8,1053.706,24992
warm-launch,1,55092,9,1180.878,32112
warm-launch,1,55092,10,1324.563,57360
warm-launch,1,55092,11,1452.099,91040
warm-launch,1,55092,12,1587.963,96624
warm-launch,1,55092,13,1715.050,97088
warm-launch,1,55092,14,1843.964,97088
warm-launch,1,55092,15,1974.769,97088
warm-launch,1,55092,16,2104.394,97088
warm-launch,1,55092,17,2236.020,97120
warm-launch,1,55092,18,2369.352,97120
warm-launch,1,55092,19,2500.770,97120
warm-launch,1,55092,20,2631.937,97120
warm-launch,1,55092,21,2759.008,97120
warm-launch,1,55092,22,2891.386,97120
warm-launch,1,55092,23,3022.298,97120
warm-launch,1,55092,24,3157.286,97120
warm-launch,1,55092,25,3290.273,97120
warm-launch,1,55092,26,3422.621,97120
warm-launch,1,55092,27,3560.009,97120
warm-launch,1,55092,28,3696.173,97120
warm-launch,1,55092,29,3821.930,97120
warm-launch,1,55092,30,3951.249,97120
warm-launch,1,55092,31,4084.546,97120
warm-launch,1,55092,32,4215.030,97120
warm-launch,1,55092,33,4350.955,97120
warm-launch,1,55092,34,4484.815,97120
warm-launch,1,55092,35,4624.726,97120
warm-launch,1,55092,36,4762.386,97120
warm-launch,1,55092,37,4889.956,97120
warm-launch,1,55092,38,5015.142,97120
warm-launch,2,55760,0,11.487,24384
warm-launch,2,55760,1,140.512,32160
warm-launch,2,55760,2,271.161,81680
warm-launch,2,55760,3,395.389,96144
warm-launch,2,55760,4,523.232,96736
warm-launch,2,55760,5,652.497,97120
warm-launch,2,55760,6,786.672,97120
warm-launch,2,55760,7,921.415,97120
warm-launch,2,55760,8,1050.359,97120
warm-launch,2,55760,9,1198.139,97120
warm-launch,2,55760,10,1330.907,97120
warm-launch,2,55760,11,1463.713,97120
warm-launch,2,55760,12,1589.879,97120
warm-launch,2,55760,13,1723.578,97120
warm-launch,2,55760,14,1871.396,97120
warm-launch,2,55760,15,2031.558,97120
warm-launch,2,55760,16,2186.175,97120
warm-launch,2,55760,17,2311.387,97120
warm-launch,2,55760,18,2439.583,97152
warm-launch,2,55760,19,2577.286,97152
warm-launch,2,55760,20,2711.118,97152
warm-launch,2,55760,21,2836.881,97152
warm-launch,2,55760,22,2970.657,97152
warm-launch,2,55760,23,3099.762,97152
warm-launch,2,55760,24,3228.097,97152
warm-launch,2,55760,25,3366.888,97152
warm-launch,2,55760,26,3503.776,97152
warm-launch,2,55760,27,3632.100,97152
warm-launch,2,55760,28,3766.663,97152
warm-launch,2,55760,29,3899.434,97152
warm-launch,2,55760,30,4032.015,97152
warm-launch,2,55760,31,4166.264,97152
warm-launch,2,55760,32,4295.144,97152
warm-launch,2,55760,33,4422.405,97152
warm-launch,2,55760,34,4550.201,97152
warm-launch,2,55760,35,4677.449,97152
warm-launch,2,55760,36,4810.760,97152
warm-launch,2,55760,37,4948.416,97152
warm-launch,2,55760,38,5077.209,97152
warm-launch,3,56438,0,8.377,22096
warm-launch,3,56438,1,136.341,32400
warm-launch,3,56438,2,265.010,85936
warm-launch,3,56438,3,394.108,96320
warm-launch,3,56438,4,523.252,96688
warm-launch,3,56438,5,649.003,97040
warm-launch,3,56438,6,776.377,96912
warm-launch,3,56438,7,906.397,96912
warm-launch,3,56438,8,1036.702,96912
warm-launch,3,56438,9,1170.438,96912
warm-launch,3,56438,10,1301.319,96944
warm-launch,3,56438,11,1428.781,96944
warm-launch,3,56438,12,1557.385,96944
warm-launch,3,56438,13,1685.036,96944
warm-launch,3,56438,14,1809.606,96944
warm-launch,3,56438,15,1939.924,96944
warm-launch,3,56438,16,2071.013,96944
warm-launch,3,56438,17,2202.568,96944
warm-launch,3,56438,18,2337.133,96944
warm-launch,3,56438,19,2473.731,96944
warm-launch,3,56438,20,2604.263,96944
warm-launch,3,56438,21,2743.806,96944
warm-launch,3,56438,22,2882.448,96944
warm-launch,3,56438,23,3012.973,96944
warm-launch,3,56438,24,3145.498,96944
warm-launch,3,56438,25,3289.950,96944
warm-launch,3,56438,26,3426.632,96944
warm-launch,3,56438,27,3557.682,96944
warm-launch,3,56438,28,3684.835,96944
warm-launch,3,56438,29,3811.852,96944
warm-launch,3,56438,30,3941.881,96944
warm-launch,3,56438,31,4074.711,96944
warm-launch,3,56438,32,4212.877,96944
warm-launch,3,56438,33,4348.064,96944
warm-launch,3,56438,34,4492.249,96944
warm-launch,3,56438,35,4627.276,96944
warm-launch,3,56438,36,4755.133,96944
warm-launch,3,56438,37,4883.476,96944
warm-launch,3,56438,38,5014.600,96944
warm-launch,4,57121,0,8.243,20336
warm-launch,4,57121,1,136.181,32224
warm-launch,4,57121,2,263.349,86752
warm-launch,4,57121,3,392.721,96384
warm-launch,4,57121,4,517.408,96608
warm-launch,4,57121,5,642.599,96960
warm-launch,4,57121,6,771.585,96960
warm-launch,4,57121,7,912.425,96832
warm-launch,4,57121,8,1051.722,96864
warm-launch,4,57121,9,1177.315,96864
warm-launch,4,57121,10,1303.370,96864
warm-launch,4,57121,11,1430.314,96864
warm-launch,4,57121,12,1557.131,96864
warm-launch,4,57121,13,1684.683,96864
warm-launch,4,57121,14,1810.303,96864
warm-launch,4,57121,15,1935.903,96864
warm-launch,4,57121,16,2068.210,96864
warm-launch,4,57121,17,2196.034,96864
warm-launch,4,57121,18,2325.323,96864
warm-launch,4,57121,19,2459.627,96864
warm-launch,4,57121,20,2593.386,96864
warm-launch,4,57121,21,2723.057,96864
warm-launch,4,57121,22,2852.723,96864
warm-launch,4,57121,23,2981.837,96864
warm-launch,4,57121,24,3110.501,96864
warm-launch,4,57121,25,3287.128,96752
warm-launch,4,57121,26,3419.118,96736
warm-launch,4,57121,27,3557.129,96736
warm-launch,4,57121,28,3684.590,96736
warm-launch,4,57121,29,4015.047,96736
warm-launch,4,57121,30,4145.402,96736
warm-launch,4,57121,31,4276.737,96736
warm-launch,4,57121,32,4414.634,96736
warm-launch,4,57121,33,4551.291,96736
warm-launch,4,57121,34,4682.711,96736
warm-launch,4,57121,35,4816.240,96736
warm-launch,4,57121,36,4970.102,96736
warm-launch,4,57121,37,5101.051,96736
warm-launch,5,57756,0,10.560,22144
warm-launch,5,57756,1,139.614,31872
warm-launch,5,57756,2,274.110,81040
warm-launch,5,57756,3,409.894,96288
warm-launch,5,57756,4,539.556,96672
warm-launch,5,57756,5,666.619,97040
warm-launch,5,57756,6,796.816,97040
warm-launch,5,57756,7,930.000,97040
warm-launch,5,57756,8,1058.233,97040
warm-launch,5,57756,9,1181.246,97040
warm-launch,5,57756,10,1304.738,97040
warm-launch,5,57756,11,1428.321,97088
warm-launch,5,57756,12,1554.485,97088
warm-launch,5,57756,13,1683.542,97088
warm-launch,5,57756,14,1811.455,97088
warm-launch,5,57756,15,1940.096,97088
warm-launch,5,57756,16,2069.304,97088
warm-launch,5,57756,17,2195.677,97088
warm-launch,5,57756,18,2328.162,97088
warm-launch,5,57756,19,2461.290,97088
warm-launch,5,57756,20,2593.635,97088
warm-launch,5,57756,21,2724.906,97088
warm-launch,5,57756,22,2857.906,97088
warm-launch,5,57756,23,2995.187,97088
warm-launch,5,57756,24,3129.419,97088
warm-launch,5,57756,25,3263.791,97088
warm-launch,5,57756,26,3397.612,97088
warm-launch,5,57756,27,3535.566,95856
warm-launch,5,57756,28,3669.652,86000
warm-launch,5,57756,29,3802.531,86000
warm-launch,5,57756,30,3941.912,85936
warm-launch,5,57756,31,4086.301,85936
warm-launch,5,57756,32,4224.785,85936
warm-launch,5,57756,33,4360.228,85968
warm-launch,5,57756,34,4493.928,85968
warm-launch,5,57756,35,4630.972,85968
warm-launch,5,57756,36,4767.267,85968
warm-launch,5,57756,37,4901.925,85968
warm-launch,5,57756,38,5035.724,85968
warm-launch,6,58399,0,12.045,22144
warm-launch,6,58399,1,144.570,32080
warm-launch,6,58399,2,273.813,82656
warm-launch,6,58399,3,402.362,96384
warm-launch,6,58399,4,529.868,96496
warm-launch,6,58399,5,659.176,96512
warm-launch,6,58399,6,785.385,96864
warm-launch,6,58399,7,912.440,96864
warm-launch,6,58399,8,1039.292,96864
warm-launch,6,58399,9,1170.970,96864
warm-launch,6,58399,10,1305.654,96864
warm-launch,6,58399,11,1436.161,96864
warm-launch,6,58399,12,1561.971,96864
warm-launch,6,58399,13,1699.099,96864
warm-launch,6,58399,14,1834.535,96864
warm-launch,6,58399,15,1968.377,96864
warm-launch,6,58399,16,2097.655,96864
warm-launch,6,58399,17,2245.763,96864
warm-launch,6,58399,18,2385.574,96864
warm-launch,6,58399,19,2517.372,96864
warm-launch,6,58399,20,2645.248,96864
warm-launch,6,58399,21,2774.757,96912
warm-launch,6,58399,22,2933.825,96912
warm-launch,6,58399,23,3074.326,96912
warm-launch,6,58399,24,3201.644,96912
warm-launch,6,58399,25,3338.020,96912
warm-launch,6,58399,26,3469.536,96912
warm-launch,6,58399,27,3593.714,96912
warm-launch,6,58399,28,3723.263,96912
warm-launch,6,58399,29,3851.119,96912
warm-launch,6,58399,30,3986.816,96912
warm-launch,6,58399,31,4118.157,96912
warm-launch,6,58399,32,4249.857,96912
warm-launch,6,58399,33,4394.766,96912
warm-launch,6,58399,34,4523.328,96912
warm-launch,6,58399,35,4652.302,96912
warm-launch,6,58399,36,4777.639,96912
warm-launch,6,58399,37,4902.494,96912
warm-launch,6,58399,38,5033.453,96912
warm-launch,7,59056,0,15.604,22944
warm-launch,7,59056,1,142.558,32000
warm-launch,7,59056,2,269.319,78752
warm-launch,7,59056,3,405.944,95936
warm-launch,7,59056,4,532.651,96624
warm-launch,7,59056,5,660.629,96976
warm-launch,7,59056,6,785.843,96976
warm-launch,7,59056,7,916.201,96976
warm-launch,7,59056,8,1043.133,96976
warm-launch,7,59056,9,1169.827,96976
warm-launch,7,59056,10,1295.193,96976
warm-launch,7,59056,11,1424.780,96976
warm-launch,7,59056,12,1559.872,96976
warm-launch,7,59056,13,1687.116,96976
warm-launch,7,59056,14,1821.876,96976
warm-launch,7,59056,15,1952.718,96976
warm-launch,7,59056,16,2081.295,96976
warm-launch,7,59056,17,2218.168,96976
warm-launch,7,59056,18,2354.589,96976
warm-launch,7,59056,19,2488.538,96976
warm-launch,7,59056,20,2617.023,96976
warm-launch,7,59056,21,2757.346,96976
warm-launch,7,59056,22,2895.767,96976
warm-launch,7,59056,23,3038.921,97008
warm-launch,7,59056,24,3177.026,97008
warm-launch,7,59056,25,3315.078,97008
warm-launch,7,59056,26,3454.756,97008
warm-launch,7,59056,27,3595.283,97008
warm-launch,7,59056,28,3727.966,97008
warm-launch,7,59056,29,3862.340,97008
warm-launch,7,59056,30,4000.066,97008
warm-launch,7,59056,31,4143.656,97008
warm-launch,7,59056,32,4284.044,97008
warm-launch,7,59056,33,4420.063,97008
warm-launch,7,59056,34,4562.679,97008
warm-launch,7,59056,35,4694.810,97008
warm-launch,7,59056,36,4825.126,97008
warm-launch,7,59056,37,4967.361,97008
warm-launch,7,59056,38,5112.517,97008
