scenario,run,pid,name,type,start_timestamp,end_timestamp,duration_ms
warm-launch,1,55092,process_started,event,2026-07-13 22:42:41.297790+0200,,
warm-launch,1,55092,hotkey_registration,interval,2026-07-13 22:42:41.316228+0200,2026-07-13 22:42:41.347517+0200,31.289
warm-launch,1,55092,hotkey_ready,event,2026-07-13 22:42:41.347536+0200,,
warm-launch,1,55092,retained_store_opening,interval,2026-07-13 22:42:41.347585+0200,2026-07-13 22:42:41.376341+0200,28.756
warm-launch,1,55092,service_container_construction,interval,2026-07-13 22:42:41.298282+0200,2026-07-13 22:42:41.519444+0200,221.162
warm-launch,1,55092,app_initialization,interval,2026-07-13 22:42:41.298256+0200,2026-07-13 22:42:41.519553+0200,221.297
warm-launch,1,55092,model_selection_restoration,interval,2026-07-13 22:42:41.748915+0200,2026-07-13 22:42:41.748993+0200,0.078
warm-launch,1,55092,service_container_initialization,interval,2026-07-13 22:42:41.748775+0200,2026-07-13 22:42:41.749050+0200,0.275
warm-launch,1,55092,ui_ready,event,2026-07-13 22:42:41.750081+0200,,
warm-launch,1,55092,process_to_ui_ready,interval,2026-07-13 22:42:41.296213+0200,2026-07-13 22:42:41.750100+0200,453.887
warm-launch,2,55760,process_started,event,2026-07-13 22:42:46.462561+0200,,
warm-launch,2,55760,hotkey_registration,interval,2026-07-13 22:42:46.476951+0200,2026-07-13 22:42:46.508136+0200,31.185
warm-launch,2,55760,hotkey_ready,event,2026-07-13 22:42:46.508155+0200,,
warm-launch,2,55760,retained_store_opening,interval,2026-07-13 22:42:46.508181+0200,2026-07-13 22:42:46.530380+0200,22.199
warm-launch,2,55760,service_container_construction,interval,2026-07-13 22:42:46.463562+0200,2026-07-13 22:42:46.632796+0200,169.234
warm-launch,2,55760,app_initialization,interval,2026-07-13 22:42:46.463532+0200,2026-07-13 22:42:46.632853+0200,169.321
warm-launch,2,55760,model_selection_restoration,interval,2026-07-13 22:42:46.823940+0200,2026-07-13 22:42:46.824027+0200,0.087
warm-launch,2,55760,service_container_initialization,interval,2026-07-13 22:42:46.823825+0200,2026-07-13 22:42:46.824094+0200,0.269
warm-launch,2,55760,ui_ready,event,2026-07-13 22:42:46.825042+0200,,
warm-launch,2,55760,process_to_ui_ready,interval,2026-07-13 22:42:46.462122+0200,2026-07-13 22:42:46.825062+0200,362.940
warm-launch,3,56438,process_started,event,2026-07-13 22:42:52.662944+0200,,
warm-launch,3,56438,hotkey_registration,interval,2026-07-13 22:42:52.675018+0200,2026-07-13 22:42:52.701875+0200,26.857
warm-launch,3,56438,hotkey_ready,event,2026-07-13 22:42:52.701892+0200,,
warm-launch,3,56438,retained_store_opening,interval,2026-07-13 22:42:52.701916+0200,2026-07-13 22:42:52.718740+0200,16.824
warm-launch,3,56438,service_container_construction,interval,2026-07-13 22:42:52.663246+0200,2026-07-13 22:42:52.818912+0200,155.666
warm-launch,3,56438,app_initialization,interval,2026-07-13 22:42:52.663230+0200,2026-07-13 22:42:52.818970+0200,155.740
warm-launch,3,56438,model_selection_restoration,interval,2026-07-13 22:42:52.995504+0200,2026-07-13 22:42:52.995584+0200,0.080
warm-launch,3,56438,service_container_initialization,interval,2026-07-13 22:42:52.995398+0200,2026-07-13 22:42:52.995637+0200,0.239
warm-launch,3,56438,ui_ready,event,2026-07-13 22:42:52.996405+0200,,
warm-launch,3,56438,process_to_ui_ready,interval,2026-07-13 22:42:52.662605+0200,2026-07-13 22:42:52.996416+0200,333.811
warm-launch,4,57121,process_started,event,2026-07-13 22:42:58.810610+0200,,
warm-launch,4,57121,hotkey_registration,interval,2026-07-13 22:42:58.823236+0200,2026-07-13 22:42:58.851497+0200,28.261
warm-launch,4,57121,hotkey_ready,event,2026-07-13 22:42:58.851513+0200,,
warm-launch,4,57121,retained_store_opening,interval,2026-07-13 22:42:58.851537+0200,2026-07-13 22:42:58.866446+0200,14.909
warm-launch,4,57121,service_container_construction,interval,2026-07-13 22:42:58.810916+0200,2026-07-13 22:42:58.958382+0200,147.466
warm-launch,4,57121,app_initialization,interval,2026-07-13 22:42:58.810899+0200,2026-07-13 22:42:58.958456+0200,147.557
warm-launch,4,57121,model_selection_restoration,interval,2026-07-13 22:42:59.123374+0200,2026-07-13 22:42:59.123434+0200,0.060
